start,end,title,duration,category,all_day,description
2026-05-12 08:30,2026-05-12 10:00,AI Learning,1h 30m,ambiguous,False,
2026-05-12 10:00,2026-05-12 11:15,MPS: MPS SIS Screens Updates w Daniele Cosco,1h 15m,work,False,
2026-05-12 11:30,2026-05-12 12:00,Instruments: Create Mockup for Beamlines,30m,ambiguous,False,"Changes made to the title, description or attachments will not be saved. To make edits, please go to: https://tasks.google.com/task/H_WOmMbjcDfk4GS2"
2026-05-12 16:00,2026-05-12 20:00,SFI tesztvizsga,4h 0m,ambiguous,False,
